品类,商品产地,商品名称,规格,箱规,批发价,市场零售价,保质期
食品,中国台湾,恬蜜红豆卷心酥（饼干）,,220g*12,,35,12个月
食品,中国台湾,恬蜜起司（干酪）卷心酥（饼干）,,220g*12,,35,12个月
食品,中国台湾,恬蜜饮用水,,600ml*24,,9.9,12个月
食品,中国台湾,恬蜜综合果仁,,260g*15,,45,12个月
食品,中国台湾,恬蜜特浓牛奶饼干,,320g*12,,45,12个月
食品,中国台湾,恬蜜美味赤砂糖饼干,,350g*12,,45,12个月
食品,中国台湾,吃果籽荔枝味果冻,,400g*18,,32,12个月
食品,中国台湾,吃果籽菠萝椰果冻,,400g*18,,32,12个月
食品,中国台湾,吃果籽草莓味果冻,,400g*18,,32,12个月
食品,中国台湾,吃果籽芒果味果冻,,400g*18,,32,13个月
食品,中国台湾,蜂蜜柠檬味果冻,,540g*12,,25,12个月
食品,中国台湾,文旦香柚味果冻,,540g*12,,25,12个月
食品,中国台湾,柳橙菠萝味果冻,,540g*12,,25,12个月
食品,中国台湾,恬蜜足球状代可可脂巧克力,,165g*20,,32,12个月
食品,中国台湾,恬蜜柠檬味糖果,,160g*20,,32,12个月
食品,中国台湾,恬蜜口哨糖,,140g*20,,32,12个月
食品,中国台湾,恬蜜糖果(金桔味),,180g*20,,32,12个月
食品,中国台湾,恬蜜代可可脂巧克力米果糖,,140g*20,,32,12个月
食品,中国台湾,恬蜜代可可脂巧克力米果糖(牛奶味),,140g*20,,32,12个月
食品,中国台湾,代可可脂巧克力米果糖(草莓味),,140g*20,,32,12个月
食品,中国台湾,恬蜜鸡蛋牛奶味果冻,,440g*12,,32,12个月
食品,中国台湾,恬蜜焦糖奶茶味果冻,,440g*12,,32,12个月
食品,中国台湾,恬蜜香蕉牛奶味果冻,,245g*20,,18,12个月
食品,中国台湾,恬蜜冰淇淋味果冻,,245g*20,,18,12个月
食品,中国台湾,盛香珍脆果集[100g],,100G*10,,18,10个月
食品,中国台湾,盛香珍小鱼干花生[80g],,80G*10,,18,12个月
食品,中国台湾,盛香珍甘草瓜子[180g],,180G*20,,19,12个月
食品,中国台湾,盛香珍南瓜子（原味）[150g],,150G*20,,19,12个月
食品,中国台湾,盛香珍酱油瓜子[180g],,180G*20,,19,12个月
食品,中国台湾,盛香珍南瓜子（绿茶）,,130G*20,,19,12个月
食品,中国台湾,盛香珍香瓜子[210g],,210G*20,,19,12个月
食品,中国台湾,尚发缘份饼(原味牛轧饼）,,192g*15,,18,10个月
食品,中国台湾,尚发缘份饼（蔓越莓牛轧饼）,,192g*15,,18,10个月
食品,中国台湾,海龙王原味黑糖块,,270克*20,,30,12个月
食品,中国台湾,海龙王玫瑰四物黑糖块,,250克*20,,30,12个月
食品,中国台湾,海龙王姜汁黑糖块,,270克*20,,30,12个月
食品,中国台湾,海龙王桂圆红枣黑糖块,,250克*20,,30,12个月
食品,中国台湾,第一家咖喱蛋卷[160g*24],,160g*24,,15,12个月
食品,中国台湾,第一家鲍鱼蛋卷[160g*24],,160g*24,,15,12个月
食品,中国台湾,第一家-榴莲蛋卷,,160g*24,,15,12个月
食品,中国台湾,第一家-原味蛋卷,,160g*24,,15,12个月
食品,中国台湾,第一家-紫薯蛋卷,,160g*24,,15,12个月
食品,中国台湾,第一家-紫菜蛋卷,,160g*24,,15,12个月
食品,中国台湾,中国台湾一番芭乐干,,100g*60,,13,12个月
食品,中国台湾,中国台湾一番芒果干,,100g*60,,15,12个月
食品,中国台湾,中国台湾一番草莓干,,100g*60,,15,12个月
食品,中国台湾,九福凤梨酥,,200g*12,,25,9个月
食品,中国台湾,九福蜜瓜酥,,200g*12,,25,9个月
食品,中国台湾,九福芒果酥,,200g*12,,25,9个月
食品,中国台湾,九福蓝莓酥,,200g*12,,25,9个月
食品,中国台湾,九福绿茶酥,,200g*12,,25,9个月
食品,中国台湾,九福纯黑糖沙琪玛,,400g*20,,33,9个月
食品,中国台湾,九福鸡蛋酥,,227克*20,,20,9个月
食品,中国台湾,九福素食沙琪玛,,227克*20,,20,9个月
食品,中国台湾,九福黑糖沙琪玛,,227克*20,,20,9个月
食品,中国台湾,九福五谷杂粮沙琪玛,,227克*20,,20,9个月
食品,中国台湾,九福葡萄芝麻沙琪玛,,227克*20,,20,9个月
食品,中国台湾,旋风水果味棒棒糖（扁形橙色）,,120克*12根,,22,24个月
食品,中国台湾,超级旋风水果味棒棒糖（扁形绿色）,,120克*12根,,22,24个月
食品,中国台湾,超级水果味棒棒糖（圆形）,,150克*12根,,22,12个月
食品,中国台湾,中国台湾蛋卷（芝麻味）[108g],,108*24,,10,12个月
食品,中国台湾,中国台湾蛋卷（海苔味）,,108*24,,10,12个月
食品,中国台湾,EGO芒果味果冻6杯装,,40g*6杯*20,,10,2年
食品,中国台湾,EGO综合味果冻6杯装,,40g*6杯*20,,10,2年
食品,中国台湾,EGO荔枝味果冻6杯装,,40g*6杯*20,,10,2年
食品,中国台湾,EGO草莓味果冻6杯装,,40g*6杯*20,,10,2年
食品,中国台湾,竹叶堂花生大福饼,,210g*24,,15,12个月
食品,中国台湾,竹叶堂芋头大福饼,,210g*24,,15,12个月
食品,中国台湾,竹叶堂芝麻大福饼,,210g*24,,15,12个月
食品,中国台湾,竹叶堂抹茶大福饼,,210g*24,,15,12个月
食品,中国台湾,竹叶堂红豆大福饼,,210g*24,,15,12个月
食品,中国台湾,古迪黑糖酥,,228g*40,,15,8个月
食品,中国台湾,古迪黑糖酥,,450g*24,,25,8个月
食品,中国台湾,统一MaxQ口香糖（柠檬）[54.6g*96],,54.6g*96,,15,18个月
食品,中国台湾,统一MaxQ口香糖（葡萄）[54.6g*96],,54.6g*96,,15,18个月
食品,中国台湾,统一MaxQ口香糖（草莓）[54.6g*96],,54.6g*96,,15,18个月
食品,中国台湾,莊家方塊酥-全麥,,217G*18,,20,12个月
食品,中国台湾,莊家方塊酥-黑芝麻,,217G*18,,20,12个月
食品,中国台湾,莊家方塊酥-蔬菜,,217G*18,,20,12个月
食品,中国台湾,莊家方塊酥-高繊,,217G*18,,20,12个月
食品,中国台湾,莊家方塊酥-杏仁,,217G*18,,20,12个月
食品,中国台湾,莊家嘉義旅行礼盒,,780G*6,,110,12个月
食品,中国台湾,莊家方塊酥-鹹酥海苔,,130G*12,,14,12个月
食品,中国台湾,莊家方塊酥-全麥,,130G*12,,14,12个月
食品,中国台湾,莊家方塊酥-黑芝麻,,130G*12,,14,12个月
食品,中国台湾,莊家方塊酥-黑糖,,130G*12,,14,12个月
食品,中国台湾,莊家方塊酥-香葱,,130G*12,,14,12个月
食品,中国台湾,莊家方塊酥-梅子,,130G*12,,14,12个月
食品,中国台湾,莊家阿里山大风采禮盒,,1200G*6,,167,12个月
食品,中国台湾,莊家雪花方塊酥-全麥,,300G*12,,33,12个月
